patric_id	locus_tag	product	gene
226186.12.peg.4411	BT_4335	Outer membrane lipoprotein carrier protein LolA	
226186.12.peg.4412	BT_4336	Thioredoxin reductase (EC 1.8.1.9)	
226186.12.peg.4413	BT_4337	beta-glycosyl hydrolase	
226186.12.peg.4414	BT_4338	Transcriptional regulator%2C Crp/Fnr family	
226186.12.peg.4415	BT_4339	Glutamine synthetase type III%2C GlnN (EC 6.3.1.2)	
226186.12.peg.4416	BT_4340	hypothetical protein	
226186.12.peg.4417	BT_4341	hypothetical protein	
226186.12.peg.4418	BT_4342	Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)	
226186.12.peg.4419	BT_4343	Superfamily I DNA and RNA helicases and helicase subunits	
226186.12.peg.4420	BT_4344	Superfamily I DNA and RNA helicases and helicase subunits	
226186.12.peg.4422	BT_4345	SSU ribosomal protein S1p	rpsA
226186.12.peg.4423	BT_4346	Ribonuclease Z (EC 3.1.26.11)	
226186.12.peg.4424	BT_4347	RNA polymerase ECF-type sigma factor	
226186.12.peg.4425	BT_4348	hypothetical protein	
226186.12.peg.4426	BT_4349	hypothetical protein	
226186.12.peg.4427	BT_4350	Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)	mazG
226186.12.peg.4428	BT_4351	hypothetical protein	
226186.12.peg.4429	BT_4352	hypothetical protein	
226186.12.peg.443	BT_0443	beta-glucosidase (EC 3.2.1.21)	
226186.12.peg.4430	BT_4353	Valyl-tRNA synthetase (EC 6.1.1.9)	valS
226186.12.peg.4431	BT_4354	Two-component system sensor histidine kinase	
226186.12.peg.4432	BT_4355	RNA polymerase ECF-type sigma factor	
226186.12.peg.4433	BT_4356	Putative anti-sigma factor	
226186.12.peg.4434	BT_4357	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4435	BT_4358	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4436	BT_4359	Alpha-N-acetylglucosaminidase (EC 3.2.1.50)	
226186.12.peg.4437	BT_4360	hypothetical protein	
226186.12.peg.4438	BT_4361	hypothetical protein	
226186.12.peg.4439	BT_4362	Protein translocase subunit SecA	secA
226186.12.peg.444	BT_0444	hypothetical protein	
226186.12.peg.4441	BT_4363	Alkaline phosphatase (EC 3.1.3.1)%3B Type I phosphodiesterase/nucleotide pyrophosphatase precursor	
226186.12.peg.4442	BT_4364	hypothetical protein	
226186.12.peg.4443	BT_4366	Pantothenate kinase type III%2C CoaX-like (EC 2.7.1.33)	
226186.12.peg.4444	BT_4367	Putative outer membrane protein	
226186.12.peg.4445	BT_4368	TPR domain protein	
226186.12.peg.4446	BT_4369	Lipopolysaccharide export system protein LptC	
226186.12.peg.4447	BT_4370	Hemolysins and related proteins containing CBS domains	
226186.12.peg.4448	BT_4371	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	
226186.12.peg.4449	BT_4372	23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)	
226186.12.peg.445	BT_0445	endoglucanase E precursor (EGE)	
226186.12.peg.4450	BT_4373	hypothetical protein	
226186.12.peg.4451	BT_4374	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	
226186.12.peg.4452	BT_4375	Transcriptional regulator	
226186.12.peg.4453	BT_4376	hypothetical protein	
226186.12.peg.4455	BT_4377	hypothetical protein	
226186.12.peg.4456	BT_4378	Protein translocase membrane subunit SecG	secG
226186.12.peg.4457	BT_4379	Putative oxalate/formate antiporter	
226186.12.peg.4458	BT_4380	Uncharacterized protein BT4380	
226186.12.peg.4459	BT_4381	hypothetical protein	
226186.12.peg.446	BT_0446	hypothetical protein	
226186.12.peg.4460	BT_4382	hypothetical protein	
226186.12.peg.4461	BT_4383	NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)	
226186.12.peg.4462	BT_4384	hypothetical protein	
226186.12.peg.4463	BT_4385	Di-tripeptide/cation symporter	
226186.12.peg.4464	BT_4386	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)	
226186.12.peg.4465	BT_4387	Adenylate kinase (EC 2.7.4.3)	adk
226186.12.peg.4466	BT_4388	GTP-binding protein Obg	obgE
226186.12.peg.4467	BT_4389	FIG00003370: Multicopper polyphenol oxidase	
226186.12.peg.4469	BT_4390	hypothetical protein	
226186.12.peg.447	BT_0447	S-layer related protein precursor%2C sialic acid-specific 9-O-acetylesterase	
226186.12.peg.4470	BT_4391	putative metalloendopeptidase	
226186.12.peg.4471	BT_4392	Mobile element protein	
226186.12.peg.4472	BT_4394	beta-glycosyl hydrolase	
226186.12.peg.4474	BT_4395	Protein O-GlcNAcase (EC 3.2.1.169)	
226186.12.peg.4475	BT_4396	Transcriptional regulator%2C AraC family	
226186.12.peg.4476	BT_4397	Uncharacterized sugar:proton symporter	
226186.12.peg.4477	BT_4398	Uncharacterized protein YphG%2C TPR-domain containing	
226186.12.peg.4478	BT_4399	3-carboxymuconate cyclase	
226186.12.peg.4479	BT_4400	hypothetical protein	
226186.12.peg.448	BT_0448	hypothetical protein	
226186.12.peg.4481	BT_4402	RNA polymerase ECF-type sigma factor	
226186.12.peg.4482	BT_4403	Putative anti-sigma factor	
226186.12.peg.4484	BT_4404	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4485	BT_4405	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4486	BT_4406	hypothetical protein	
226186.12.peg.4487	BT_4407	Patatin-like protein	
226186.12.peg.4488	BT_4408	hypothetical protein	
226186.12.peg.4489	BT_4409	DNA polymerase IV (EC 2.7.7.7)	
226186.12.peg.449	BT_0449	S-layer related protein precursor%2C sialic acid-specific 9-O-acetylesterase	
226186.12.peg.4490	BT_4410	hypothetical protein	
226186.12.peg.4491	BT_4411	hypothetical protein	
226186.12.peg.4493	BT_4412	FIG00898139: hypothetical protein	
226186.12.peg.4494	BT_4414	hypothetical protein	
226186.12.peg.4495	BT_4415	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase%2C beta chain (EC 4.1.1.41)	
226186.12.peg.4496	BT_4416	Cytoplasmic copper homeostasis protein CutC	
226186.12.peg.4497	BT_4417	Ribonuclease Y	
226186.12.peg.4498	BT_4418	Cell division ZapA family protein	
226186.12.peg.4499	BT_4419	FIG034863: hypothetical protein	
226186.12.peg.450	BT_0450	hypothetical protein	
226186.12.peg.4501	BT_4420	conserved hypothetical protein%2C with a conserved domain	
226186.12.peg.4502	BT_4423	Xylulose kinase (EC 2.7.1.17)	
226186.12.peg.4504	BT_4424	sorbitol dehydrogenase	
226186.12.peg.4505	BT_4425	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	
226186.12.peg.4506	BT_4426	hypothetical protein	
226186.12.peg.4507	BT_4427	putative surface layer protein%2C with cytochrome c domain	
226186.12.peg.4508	BT_4428	hypothetical protein	
226186.12.peg.4509	BT_4429	uncharacterized domain / RidA/YER057c/UK114 superfamily%2C group 5	
226186.12.peg.451	BT_0451	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4510	BT_4430	Putative cytochrome C-type biogenesis protein	
226186.12.peg.4511	BT_4431	hypothetical protein	
226186.12.peg.4512	BT_4432	hypothetical protein	
226186.12.peg.4514	BT_4434	hypothetical protein	
226186.12.peg.4515	BT_4435	hypothetical protein	
226186.12.peg.4516	BT_4436	hypothetical protein	
226186.12.peg.4517	BT_4437	Transposase	
226186.12.peg.4518	BT_4438	hypothetical protein	
226186.12.peg.4519	BT_4439	hypothetical protein	
226186.12.peg.452	BT_0452	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4520	BT_4440	hypothetical protein	
226186.12.peg.4521	BT_4441	Cell surface protein	
226186.12.peg.4522	BT_4442	hypothetical protein	
226186.12.peg.4523	BT_4443	hypothetical protein	
226186.12.peg.4524	BT_4444	hypothetical protein	
226186.12.peg.4525	BT_4445	hypothetical protein	
226186.12.peg.4526	BT_4446	sugar phosphate isomerase/epimerase	
226186.12.peg.4527	BT_4447	Putative secreted glycosyl hydrolase	
226186.12.peg.4528	BT_4448	Putative dehydrogenase	
226186.12.peg.4529	BT_4449	Putative dehydrogenase	
226186.12.peg.453	BT_0453	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	
226186.12.peg.4530	BT_4450	Integral membrane protein	
226186.12.peg.4531	BT_4451	5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	
226186.12.peg.4532	BT_4452	Inner membrane protein YbaN	
226186.12.peg.4533	BT_4453	6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase (EC 4.1.2.50)	
226186.12.peg.4534	BT_4454	7-carboxy-7-deazaguanine synthase (EC 4.3.99.3)	
226186.12.peg.4535	BT_4455	Predicted L-lactate dehydrogenase%2C Fe-S oxidoreductase subunit YkgE	
226186.12.peg.4537	BT_4456	Predicted L-lactate dehydrogenase%2C Iron-sulfur cluster-binding subunit YkgF	
226186.12.peg.4538	BT_4457	Predicted L-lactate dehydrogenase%2C hypothetical protein subunit SO1518	
226186.12.peg.4539	BT_4458	Pyridoxal kinase (EC 2.7.1.35)	
226186.12.peg.454	BT_0454	Uncharacterized sugar:proton symporter	
226186.12.peg.4540	BT_4459	conserved hypothetical protein%2C putative transport protein	
226186.12.peg.4541	BT_4460	Putative outer membrane protein%2C probably involved in nutrient binding	
226186.12.peg.4542	BT_4461	RNA polymerase ECF-type sigma factor	
226186.12.peg.4543	BT_4462	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	
226186.12.peg.4544	BT_4463	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	
226186.12.peg.4545	BT_4464	Phosphatidylinositol phosphate synthase-related protein	
226186.12.peg.4547	BT_4465	Putative von Willebrand factor%2C vWF type A domain protein STM2315	
226186.12.peg.4548	BT_4467	hypothetical protein	
226186.12.peg.4549	BT_4468	FIG138056: a glutathione-dependent thiol reductase	
226186.12.peg.455	BT_0455	Sialidase (EC 3.2.1.18)	
226186.12.peg.4550	BT_4469	G:T/U mismatch-specific uracil/thymine DNA-glycosylase (EC 3.2.2.27)	
226186.12.peg.4551	BT_4470	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4553	BT_4471	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4554	BT_4472	hypothetical protein	
226186.12.peg.4555	BT_4473	Xanthine permease	
226186.12.peg.4556	BT_4474	Lysine 2%2C3-aminomutase (EC 5.4.3.2)	
226186.12.peg.4557	BT_4475	hypothetical protein	
226186.12.peg.4558	BT_4476	amino acid carrier protein	
226186.12.peg.4559	BT_4477	putative ATP-dependent DNA helicase	
226186.12.peg.456	BT_0456	beta-glycosyl hydrolase	
226186.12.peg.4561	BT_4479	Mobile element protein	
226186.12.peg.4562	BT_4480	putative cell surface protein	
226186.12.peg.4563	BT_4481	Outer membrane protein	
226186.12.peg.4564	BT_4482	Biotin synthase related domain containing protein	
226186.12.peg.4565	BT_4483	Domain often clustered or fused with uracil-DNA glycosylase	
226186.12.peg.4566	BT_4484	Mg(2+)-transport-ATPase-associated protein MgtC	
226186.12.peg.4567	BT_4485	no significant homology. Putative N-terminal signal sequence and 3 putative transmembrane regions were found by PSORT.	
226186.12.peg.4568	BT_4486	Potassium voltage-gated channel subfamily KQT%3B possible potassium channel%2C VIC family	
226186.12.peg.4569	BT_4487	putative membrane-bound lytic murein transglycosylase	
226186.12.peg.457	BT_0457	Sialic acid-specific 9-O-acetylesterase	
226186.12.peg.4570	BT_4488	Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	
226186.12.peg.4572	BT_4489	hypothetical protein	
226186.12.peg.4573	BT_4491	hypothetical protein	
226186.12.peg.4574	BT_4492	TPR-repeat-containing protein	
226186.12.peg.4575	BT_4493	Cell division inhibitor SulA	
226186.12.peg.4576	BT_4494	hypothetical protein	
226186.12.peg.4577	BT_4495	Zinc finger domain-containing protein	
226186.12.peg.4578	BT_4496	3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100)	
226186.12.peg.4579	BT_4497	Uncharacterized protein YgbA	
226186.12.peg.458	BT_0458	Beta-mannosidase (EC 3.2.1.25)	
226186.12.peg.4580	BT_4498	hypothetical protein	
226186.12.peg.4581	BT_4499	Na+-driven multidrug efflux pump	
226186.12.peg.4582	BT_4500	hypothetical protein	
226186.12.peg.4583	BT_4501	Domain of unknown function / Pseudouridine synthase	
226186.12.peg.4584	BT_4502	hypothetical protein	
226186.12.peg.4585	BT_4503	MaoC family protein	
226186.12.peg.4586	BT_4504	UPF0056 inner membrane protein MarC	
226186.12.peg.4587	BT_4505	hypothetical protein	
226186.12.peg.4588	BT_4506	Acetyltransferase%2C GNAT family	
226186.12.peg.4589	BT_4507	Class A beta-lactamase (EC 3.5.2.6)	
226186.12.peg.459	BT_0459	beta-glycosyl hydrolase	
226186.12.peg.4591	BT_4508	hypothetical protein	
226186.12.peg.4592	BT_4509	hypothetical protein	
226186.12.peg.4594	BT_4510	Putative helicase	
226186.12.peg.4595	BT_4511	hypothetical protein	
226186.12.peg.4596	BT_4512	Threonine dehydrogenase and related Zn-dependent dehydrogenases	
226186.12.peg.4597	BT_4513	putative rRNA methylase	
226186.12.peg.4598	BT_4514	hypothetical protein	
226186.12.peg.4599	BT_4515	Transcriptional regulator%2C Xre family	
226186.12.peg.46	BT_0046	Putative glycosyltransferase	
226186.12.peg.460	BT_0460	beta-glycosyl hydrolase	
226186.12.peg.4600	BT_4516	hypothetical protein	
226186.12.peg.4601	BT_4517	Type I restriction-modification system%2C restriction subunit R (EC 3.1.21.3)	
226186.12.peg.4602	BT_4518	Type I restriction-modification system%2C DNA-methyltransferase subunit M (EC 2.1.1.72)	
226186.12.peg.4603	BT_4519	hypothetical protein	
226186.12.peg.4604	BT_4520	Type I restriction-modification system%2C specificity subunit S	
226186.12.peg.4605	BT_4521	Site-specific tyrosine recombinase	
226186.12.peg.4606	BT_4522	Type I restriction-modification system%2C specificity subunit S	
226186.12.peg.4607	BT_4523	Type I restriction-modification system%2C specificity subunit S	
226186.12.peg.4608	BT_4524	mobilizable transposon%2C tnpA protein	
226186.12.peg.4609	BT_4526	Ser/Thr protein phosphatase family protein	
226186.12.peg.461	BT_0461	beta-galactosidase	
226186.12.peg.4611	BT_4528	Phosphohydrolase (MutT/nudix family protein)	
226186.12.peg.4612	BT_4529	Transcriptional regulator%2C Xre family	
226186.12.peg.4613	BT_4530	ATP-dependent DNA helicase RecG	
226186.12.peg.4614	BT_4531	hypothetical protein	
226186.12.peg.4615	BT_4532	hypothetical protein	
226186.12.peg.4616	BT_4533	hypothetical protein	
226186.12.peg.4617	BT_4534	hypothetical protein	
226186.12.peg.4618	BT_4535	Type I restriction-modification system%2C restriction subunit R (EC 3.1.21.3)	
226186.12.peg.4619	BT_4536	Uncharacterized protein BT_4536	
226186.12.peg.462	BT_0462	Capsular polysaccharide transcription antitermination protein%2C UpxY family	
226186.12.peg.4620	BT_4537	hypothetical protein	
226186.12.peg.4621	BT_4538	Type I restriction-modification system%2C DNA-methyltransferase subunit M (EC 2.1.1.72)	
226186.12.peg.4622	BT_4539	Putative DNA-binding protein in cluster with Type I restriction-modification system	
226186.12.peg.4623	BT_4540	Type I restriction-modification system%2C specificity subunit S	
226186.12.peg.4624	BT_4541	hypothetical protein	
226186.12.peg.4625	BT_4543	Type I restriction-modification system%2C specificity subunit S	
226186.12.peg.4626	BT_4544	Integrase	
226186.12.peg.4627	BT_4546	hypothetical protein	
226186.12.peg.4628	BT_4547	excisionase	
226186.12.peg.4629	BT_4548	putative protein involved in transposition	
226186.12.peg.463	BT_0463	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	
226186.12.peg.4630	BT_4549	Integrase	
226186.12.peg.4631	BT_4550	Transposase	
226186.12.peg.4632	BT_4551	tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmE	trmE
226186.12.peg.4633	BT_4552	Two-component system sensor histidine kinase	
226186.12.peg.4634	BT_4553	Rrf2-linked NADH-flavin reductase	
226186.12.peg.4635	BT_4554	Purine nucleoside phosphorylase (EC 2.4.2.1)	
226186.12.peg.4636	BT_4555	UPF0365 protein YqfA	
226186.12.peg.4637	BT_4556	hypothetical protein	
226186.12.peg.4638	BT_4557	hypothetical protein	
226186.12.peg.4639	BT_4558	tRNA-(cytosine32)-2-thiocytidine synthetase TtcA	
226186.12.peg.464	BT_0464	dTDP-4-dehydrorhamnose 3%2C5-epimerase (EC 5.1.3.13)	
226186.12.peg.4640	BT_4559	Uncharacterized membrane protein PA1577	
226186.12.peg.4641	BT_4560	FAD:protein FMN transferase (EC 2.7.1.180)	
226186.12.peg.4642	BT_4561	Putative manganese efflux pump MntP	
226186.12.peg.4643	BT_4562	hypothetical protein	
226186.12.peg.4644	BT_4564	Glycosyl transferase%2C family 2	
226186.12.peg.4645	BT_4565	hypothetical protein	
226186.12.peg.4647	BT_4566	Two-component system response regulator protein	
226186.12.peg.4648	BT_4567	putative two-component system sensor but no kinase domain	
226186.12.peg.4649	BT_4568	Putative TonB-dependent receptor	
226186.12.peg.465	BT_0465	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	
226186.12.peg.4651	BT_4569	hypothetical protein	
226186.12.peg.4652	BT_4571	RNA polymerase ECF-type sigma factor	
226186.12.peg.4653	BT_4572	Enolase (EC 4.2.1.11)	eno
226186.12.peg.4654	BT_4573	Pentapeptide repeat family protein	
226186.12.peg.4655	BT_4574	Fluoride ion transporter CrcB	
226186.12.peg.4656	BT_4575	hypothetical protein	
226186.12.peg.4657	BT_4576	hypothetical protein	
226186.12.peg.4658	BT_4577	hypothetical protein	
226186.12.peg.4659	BT_4578	Mobile element protein	
226186.12.peg.466	BT_0466	dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46)	
226186.12.peg.4660	BT_4580	Mobile element protein	
226186.12.peg.4661	BT_4581	Glucan 1%2C4-alpha-glucosidase (EC 3.2.1.3)	
226186.12.peg.4662	BT_4582	Amidophosphoribosyltransferase (EC 2.4.2.14)	
226186.12.peg.4663	BT_4583	Tripeptide aminopeptidase (EC 3.4.11.4)	
226186.12.peg.4664	BT_4584	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	gcvT
226186.12.peg.4665	BT_4585	POTASSIUM/PROTON ANTIPORTER ROSB	
226186.12.peg.4666	BT_4586	hypothetical protein	
226186.12.peg.4667	BT_4587	Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	
226186.12.peg.4668	BT_4588	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	
226186.12.peg.4669	BT_4589	LSU ribosomal protein L25p	
226186.12.peg.467	BT_0467	putative flippase	
226186.12.peg.4670	BT_4590	hypothetical protein	
226186.12.peg.4671	BT_4591	Transcription termination protein NusB	
226186.12.peg.4672	BT_4592	Protein translocase subunit YajC	
226186.12.peg.4673	BT_4593	hypothetical protein	
226186.12.peg.4674	BT_4594	Dephospho-CoA kinase (EC 2.7.1.24)	
226186.12.peg.4675	BT_4595	hypothetical protein	
226186.12.peg.4676	BT_4597	Chaperone protein ClpB (ATP-dependent unfoldase)	
226186.12.peg.4677	BT_4598	hypothetical protein	
226186.12.peg.4678	BT_4599	Transcriptional regulator YeiE%2C LysR family	
226186.12.peg.4679	BT_4600	hypothetical protein	
226186.12.peg.468	BT_0468	Related to F420H2-dehydrogenase%2C beta subunit	
226186.12.peg.4680	BT_4601	hypothetical protein	
226186.12.peg.4681	BT_4602	DnaK-like protein	
226186.12.peg.4682	BT_4603	hypothetical protein	
226186.12.peg.4683	BT_4604	hypothetical protein	
226186.12.peg.4684	BT_4605	hypothetical protein	
226186.12.peg.4685	BT_4606	hypothetical protein	
226186.12.peg.4686	BT_4607	hypothetical protein	
226186.12.peg.4687	BT_4608	hypothetical protein	
226186.12.peg.4688	BT_4609	Putative membrane protein YeiH	
226186.12.peg.4689	BT_4610	RecA protein	recA
226186.12.peg.469	BT_0469	hypothetical protein	
226186.12.peg.4690	BT_4611	Thiol peroxidase%2C Bcp-type (EC 1.11.1.15)	
226186.12.peg.4691	BT_4612	Carboxynorspermidine synthase (EC 1.5.1.43)	
226186.12.peg.4692	BT_4613	hypothetical protein	
226186.12.peg.4693	BT_4614	hypothetical protein	
226186.12.peg.4695	BT_4615	Chaperone protein DnaK	dnaK
226186.12.peg.4696	BT_4616	hypothetical protein	
226186.12.peg.4697	BT_4617	Integrase	
226186.12.peg.4698	BT_4618	hypothetical protein	
226186.12.peg.4699	BT_4619	hypothetical protein	
226186.12.peg.47	BT_0049	Putative glycosyltransferase	
226186.12.peg.470	BT_0470	hypothetical protein	
226186.12.peg.4700	BT_4620	hypothetical protein	
226186.12.peg.4701	BT_4621	Mobilization protein BmgB	
226186.12.peg.4702	BT_4622	Mobilization protein BmgA	
226186.12.peg.4703	BT_4623	hypothetical protein	
226186.12.peg.4704	BT_4624	putative resolvase	mpi
226186.12.peg.4705	BT_4625	putative type IIS restriction/modification enzyme	
226186.12.peg.4706	BT_4626	DNA modification methylase	
226186.12.peg.4707	BT_4627	DNA modification methylase	
226186.12.peg.4708	BT_4628	ATP-dependent helicase	
226186.12.peg.4709	BT_4629	hypothetical protein	
226186.12.peg.471	BT_0471	Glycosyltransferase	
226186.12.peg.4710	BT_4630	ATP-dependent DNA helicase	
226186.12.peg.4711	BT_4631	Arylsulfatase (EC 3.1.6.1)	
226186.12.peg.4712	BT_4632	putative chitobiase	
226186.12.peg.4713	BT_4633	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4714	BT_4634	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4715	BT_4635	Putative anti-sigma factor	
226186.12.peg.4716	BT_4636	RNA polymerase ECF-type sigma factor	
226186.12.peg.4717	BT_4637	Probable low-affinity inorganic phosphate transporter	
226186.12.peg.4718	BT_4638	Phosphate transport regulator (distant homolog of PhoU)	
226186.12.peg.4719	BT_4639	DedA protein	
226186.12.peg.472	BT_0472	hypothetical protein	
226186.12.peg.4720	BT_4641	Acetyltransferase	
226186.12.peg.4721	BT_4642	Putative outer membrane protein%2C probably involved in nutrient binding	
226186.12.peg.4722	BT_4643	RNA polymerase ECF-type sigma factor	
226186.12.peg.4723	BT_4644	Putative anti-sigma factor	
226186.12.peg.4724	BT_4645	Putative outer membrane protein%2C probably involved in nutrient binding	
226186.12.peg.4725	BT_4646	Uncharacterized protein BT_4646	
226186.12.peg.4726	BT_4647	RNA polymerase ECF-type sigma factor	
226186.12.peg.4727	BT_4648	hypothetical protein	
226186.12.peg.4728	BT_4649	hypothetical protein	
226186.12.peg.4729	BT_4650	Voltage-gated H(+)/2Cl(-) exchange transporter ClcA	
226186.12.peg.473	BT_0473	Putative glycosyltransferase	
226186.12.peg.4730	BT_4651	Endonuclease IV (EC 3.1.21.2)	
226186.12.peg.4731	BT_4652	hypothetical protein	
226186.12.peg.4733	BT_4653	Hypothetical sugar permease	
226186.12.peg.4734	BT_4654	ROK family protein (putative glucokinase)	
226186.12.peg.4735	BT_4655	hypothetical protein	
226186.12.peg.4737	BT_4656	Mucin-desulfating sulfatase	
226186.12.peg.4738	BT_4657	heparinase III protein	
226186.12.peg.4739	BT_4658	Glucuronyl hydrolase	
226186.12.peg.474	BT_0474	D-glycero-alpha-D-manno-heptose 7-phosphate kinase (EC 2.7.1.168)	
226186.12.peg.4740	BT_4659	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4741	BT_4660	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4742	BT_4661	hypothetical protein	
226186.12.peg.4743	BT_4662	heparinase III protein	
226186.12.peg.4744	BT_4663	Periplasmic ligand-binding sensor domain COG3292 / BaeS-type histidine kinase / OmpR-type DNA-binding response regulator	
226186.12.peg.4745	BT_4664	Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)	
226186.12.peg.4746	BT_4665	KtrAB potassium uptake system%2C integral membrane component KtrB	
226186.12.peg.4747	BT_4666	KtrAB potassium uptake system%2C peripheral membrane component KtrA	
226186.12.peg.4748	BT_4667	beta-galactosidase	
226186.12.peg.4749	BT_4668	arabinogalactan endo-1%2C4-beta-galactosidase	
226186.12.peg.475	BT_0475	D-sedoheptulose 7-phosphate isomerase (EC 5.3.1.28)	
226186.12.peg.4750	BT_4669	hypothetical protein	
226186.12.peg.4751	BT_4670	Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	
226186.12.peg.4752	BT_4671	Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	
226186.12.peg.4753	BT_4673	DNA-binding response regulator%2C AraC family	
226186.12.peg.4754	BT_4674	hypothetical protein	
226186.12.peg.4755	BT_4675	heparin lyase I precursor( EC:4.2.2.7 )	
226186.12.peg.4756	BT_4676	Putative periplasmic protein	
226186.12.peg.4757	BT_4677	hypothetical protein	
226186.12.peg.4758	BT_4678	L-serine dehydratase%2C beta subunit (EC 4.3.1.17) / L-serine dehydratase%2C alpha subunit (EC 4.3.1.17)	
226186.12.peg.4759	BT_4679	Magnesium and cobalt transport protein CorA	
226186.12.peg.476	BT_0476	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase (EC 2.7.7.71)	
226186.12.peg.4761	BT_4681	beta-glycosyl hydrolase	
226186.12.peg.4762	BT_4682	Putative large secreted protein SCO0341	
226186.12.peg.4764	BT_4683	Arylsulfatase (EC 3.1.6.1)	
226186.12.peg.4765	BT_4684	beta-galactosidase (EC 3.2.1.23)	
226186.12.peg.4766	BT_4686	hypothetical protein	
226186.12.peg.4767	BT_4688	Mechanosensitive ion channel	
226186.12.peg.4768	BT_4689	Pullulanase (EC 3.2.1.41)	
226186.12.peg.4769	BT_4690	Glucan 1%2C4-alpha-maltohexaosidase (EC 3.2.1.98)	
226186.12.peg.477	BT_0477	D-glycero-alpha-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase (EC 3.1.3.83)	
226186.12.peg.4770	BT_4691	23S rRNA (adenine(1618)-N(6))-methyltransferase (EC 2.1.1.181)	
226186.12.peg.4771	BT_4692	hypothetical protein	
226186.12.peg.4772	BT_4693	CzcABC family efflux RND transporter%2C membrane fusion protein	
226186.12.peg.4773	BT_4694	CzcABC family efflux RND transporter%2C transmembrane protein	
226186.12.peg.4774	BT_4695	CzcABC family efflux RND transporter%2C outer membrane protein	
226186.12.peg.4775	BT_4696	Acetyltransferase%2C GNAT family	
226186.12.peg.4776	BT_4697	Transcriptional regulator	
226186.12.peg.4777	BT_4698	FIG016027: protein of unknown function YeaO	
226186.12.peg.4778	BT_4699	Haloacid dehalogenase-like hydrolase / 1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in menaquinone biosynthesis	
226186.12.peg.4779	BT_4700	Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	
226186.12.peg.478	BT_0478	Glycosyltransferase	
