ID	locus_tag	product	gene	all_R1	all_R2	all_R3	bbif_R1	bbif_R2	bbif_R3	bbre_R1	bbre_R2	bbre_R3	binf_R1	binf_R2	binf_R3	bthe_R1	bthe_R2	bthe_R3	lsym_R1	lsym_R2	lsym_R3	ecol_R1	ecol_R2	ecol_R3	paci_R1	paci_R2	paci_R3
fig|1254.353.peg.402	HN015_01940	Heat shock protein 60 kDa family chaperone GroEL	groL	12	53	47	209.0	115.0	138.0	21.0	33.0	18.0	263.0	4242.0	752.0	171.0	320.0	300.0	1285.0	31.0	418.0	428.0	5521.0	4679.0			
fig|1254.353.peg.403	HN015_01945	Uncharacterized amino acid permease YdaO		4	17	17	114.0	56.0	43.0	8.0	45.0	12.0	83.0	533.0	238.0	126.0	219.0	170.0	343.0	19.0	134.0	183.0	974.0	870.0			
fig|1254.353.peg.404	HN015_01950	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)		0	6	8	21.0	14.0	17.0	4.0	7.0	6.0	31.0	155.0	83.0	35.0	97.0	54.0	66.0	5.0	29.0	60.0	203.0	411.0			
fig|1254.353.peg.405	HN015_01955	FIG000605: protein co-occurring with transport systems (COG1739)		0	0	0	4.0	0.0	4.0	0.0	5.0	1.0	7.0	52.0	21.0	10.0	13.0	28.0	18.0	0.0	8.0	17.0	76.0	70.0			
fig|1254.353.peg.406	HN015_01960	ComF operon protein A%2C DNA transporter ATPase		0	1	2	2.0	8.0	8.0	0.0	4.0	3.0	8.0	69.0	30.0	10.0	17.0	26.0	28.0	2.0	5.0	34.0	58.0	40.0			
fig|1254.353.peg.407		ComF operon protein C		0	6	7	6.0	3.0	8.0	1.0	1.0	4.0	16.0	143.0	46.0	12.0	20.0	27.0	44.0	1.0	16.0	29.0	72.0	109.0			
fig|1254.353.peg.408	HN015_01970	Ribosome hibernation promoting factor Hpf	raiA	7	38	48	84.0	58.0	71.0	23.0	20.0	31.0	146.0	2011.0	369.0	145.0	322.0	272.0	288.0	23.0	102.0	247.0	1564.0	1936.0			
fig|1254.353.peg.409	HN015_01975	Protein translocase subunit SecA	secA	1	17	21	110.0	54.0	61.0	6.0	38.0	12.0	86.0	591.0	193.0	133.0	193.0	140.0	417.0	8.0	186.0	228.0	587.0	547.0			
fig|1254.353.peg.41	HN015_00180	hypothetical protein		0	0	0	5.0	2.0	4.0	0.0	4.0	0.0	0.0	32.0	10.0	0.0	4.0	11.0	22.0	0.0	7.0	5.0	26.0	42.0			
fig|1254.353.peg.410		Peptide chain release factor 2 @ programmed frameshift-containing		0	4	2	20.0	19.0	7.0	0.0	8.0	1.0	26.0	263.0	77.0	26.0	43.0	52.0	61.0	1.0	25.0	52.0	269.0	348.0			
fig|1254.353.peg.411	HN015_01985	Phosphate regulon transcriptional regulatory protein PhoB (SphR)		0	8	1	14.0	8.0	17.0	0.0	1.0	2.0	11.0	225.0	76.0	24.0	37.0	30.0	45.0	0.0	31.0	33.0	230.0	137.0			
fig|1254.353.peg.412	HN015_01990	Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3)		0	8	1	24.0	11.0	25.0	2.0	17.0	0.0	26.0	385.0	94.0	23.0	65.0	59.0	119.0	5.0	53.0	78.0	480.0	386.0			
fig|1254.353.peg.413	HN015_01995	Phosphate ABC transporter%2C substrate-binding protein PstS (TC 3.A.1.7.1)	pstS	0	0	0	2.0	1.0	2.0	0.0	1.0	1.0	3.0	13.0	3.0	1.0	0.0	4.0	1.0	0.0	0.0	1.0	3.0	7.0			
fig|1254.353.peg.414	HN015_02000	Phosphate ABC transporter%2C permease protein PstC (TC 3.A.1.7.1)	pstC	0	0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	4.0	0.0			
fig|1254.353.peg.415	HN015_02005	Phosphate ABC transporter%2C permease protein PstA (TC 3.A.1.7.1)	pstA	1	0	0	0.0	4.0	1.0	0.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	3.0	5.0	0.0	1.0	0.0	7.0	0.0			
fig|1254.353.peg.416	HN015_02010	Phosphate ABC transporter%2C ATP-binding protein PstB (TC 3.A.1.7.1)	pstB	0	0	1	0.0	1.0	1.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	4.0	0.0			
fig|1254.353.peg.417	HN015_02015	Phosphate ABC transporter%2C ATP-binding protein PstB (TC 3.A.1.7.1)	pstB	0	0	0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	13.0	6.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	8.0	16.0			
fig|1254.353.peg.418	HN015_02020	Phosphate transport system regulatory protein PhoU	phoU	0	2	0	1.0	3.0	3.0	0.0	0.0	0.0	4.0	26.0	4.0	2.0	1.0	1.0	1.0	0.0	1.0	4.0	10.0	27.0			
fig|1254.353.peg.419	HN015_02025	stress-responsive transcription regulator (putative)		1	0	2	4.0	7.0	3.0	1.0	2.0	2.0	1.0	136.0	12.0	6.0	10.0	21.0	33.0	2.0	10.0	15.0	110.0	92.0			
fig|1254.353.peg.42	HN015_00185	FIG01964566: Predicted membrane protein%2C hemolysin III homolog		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	3.0	1.0	1.0	0.0	2.0	2.0	7.0	0.0			
fig|1254.353.peg.420	HN015_02030	membrane protein		0	1	3	2.0	4.0	2.0	0.0	1.0	0.0	0.0	153.0	22.0	4.0	12.0	10.0	18.0	4.0	4.0	9.0	80.0	109.0			
fig|1254.353.peg.421	HN015_02035	HPr kinase/phosphorylase		0	9	10	29.0	27.0	20.0	10.0	6.0	3.0	46.0	496.0	181.0	70.0	93.0	75.0	154.0	3.0	51.0	102.0	627.0	508.0			
fig|1254.353.peg.422	HN015_02040	Prolipoprotein diacylglyceryl transferase		3	11	2	15.0	11.0	6.0	0.0	4.0	3.0	9.0	116.0	66.0	17.0	38.0	44.0	55.0	2.0	23.0	80.0	145.0	236.0			
fig|1254.353.peg.423	HN015_02045	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)		2	33	16	94.0	44.0	54.0	3.0	41.0	21.0	147.0	288.0	456.0	227.0	291.0	326.0	279.0	10.0	143.0	424.0	993.0	822.0			
fig|1254.353.peg.424	HN015_02050	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	galU	12	59	44	183.0	149.0	135.0	14.0	74.0	38.0	264.0	1287.0	866.0	353.0	508.0	558.0	578.0	33.0	223.0	557.0	2485.0	2256.0			
fig|1254.353.peg.425	HN015_02055	Thioredoxin reductase (EC 1.8.1.9)	trxB	2	17	9	12.0	14.0	9.0	3.0	10.0	4.0	14.0	369.0	54.0	39.0	65.0	88.0	49.0	5.0	27.0	95.0	214.0	207.0			
fig|1254.353.peg.426	HN015_02060	Phosphoglucosamine mutase (EC 5.4.2.10) / Phosphomannomutase (EC 5.4.2.8)		13	55	60	56.0	147.0	128.0	11.0	44.0	24.0	132.0	2267.0	475.0	142.0	334.0	282.0	250.0	31.0	99.0	507.0	3593.0	3429.0			
fig|1254.353.peg.427		hypothetical protein		0	0	1	1.0	1.0	5.0	0.0	1.0	0.0	0.0	39.0	4.0	3.0	0.0	0.0	3.0	0.0	4.0	6.0	28.0	8.0			
fig|1254.353.peg.428	HN015_02065	Nucleotidase YfbR%2C HD superfamily		2	0	3	7.0	8.0	6.0	0.0	2.0	1.0	11.0	64.0	15.0	10.0	12.0	16.0	15.0	5.0	12.0	22.0	55.0	123.0			
fig|1254.353.peg.429	HN015_02070	Excinuclease ABC subunit B	uvrB	1	4	5	29.0	18.0	21.0	7.0	13.0	4.0	31.0	303.0	56.0	34.0	40.0	40.0	137.0	2.0	48.0	52.0	206.0	132.0			
fig|1254.353.peg.43	HN015_00190	Large repetitive protein		1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	0.0	2.0	5.0	5.0	0.0	2.0	1.0	21.0	21.0			
fig|1254.353.peg.430	HN015_02075	Excinuclease ABC subunit A	uvrA	2	9	6	60.0	22.0	36.0	7.0	11.0	11.0	18.0	304.0	118.0	52.0	77.0	67.0	179.0	8.0	90.0	98.0	442.0	314.0			
fig|1254.353.peg.431	HN015_02080	RNase adapter protein RapZ	rapZ	0	5	3	8.0	9.0	17.0	0.0	5.0	7.0	11.0	225.0	51.0	29.0	49.0	48.0	93.0	1.0	31.0	47.0	276.0	392.0			
fig|1254.353.peg.432	HN015_02085	FIG002813: LPPG:FO 2-phospho-L-lactate transferase like%2C CofD-like		0	7	5	24.0	13.0	13.0	3.0	6.0	9.0	33.0	216.0	95.0	50.0	47.0	38.0	97.0	0.0	31.0	32.0	303.0	252.0			
fig|1254.353.peg.433	HN015_02090	Sporulation transcription regulator WhiA	whiA	1	9	7	22.0	14.0	16.0	0.0	14.0	9.0	32.0	143.0	89.0	32.0	78.0	69.0	135.0	3.0	39.0	63.0	387.0	323.0			
fig|1254.353.peg.434	HN015_02095	hypothetical protein		18	70	66	147.0	168.0	137.0	9.0	62.0	33.0	339.0	2412.0	1024.0	610.0	1136.0	967.0	446.0	24.0	185.0	905.0	7924.0	7993.0			
fig|1254.353.peg.435	HN015_02100	FIG00906276: hypothetical protein		0	2	1	5.0	2.0	0.0	0.0	0.0	2.0	0.0	26.0	8.0	12.0	16.0	10.0	16.0	0.0	4.0	3.0	62.0	56.0			
fig|1254.353.peg.436	HN015_02105	ATP-dependent Clp protease proteolytic subunit ClpP (EC 3.4.21.92)	clpP	7	22	31	143.0	39.0	52.0	8.0	21.0	21.0	298.0	1824.0	615.0	142.0	300.0	226.0	423.0	21.0	166.0	324.0	1141.0	2252.0			
fig|1254.353.peg.437	HN015_02115	RNA polymerase sigma-54 factor RpoN		2	1	7	12.0	17.0	16.0	1.0	5.0	6.0	22.0	637.0	53.0	19.0	39.0	47.0	52.0	3.0	14.0	40.0	757.0	641.0			
fig|1254.353.peg.438	HN015_02120	Central glycolytic genes regulator		54	167	160	455.0	267.0	279.0	74.0	174.0	79.0	590.0	3633.0	1423.0	729.0	1512.0	1100.0	1358.0	30.0	573.0	1084.0	4697.0	4420.0			
fig|1254.353.peg.439	HN015_02125	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	gap	211	759	712	4766.0	2128.0	2113.0	431.0	2432.0	1156.0	5913.0	45870.0	18212.0	9203.0	20281.0	17301.0	24239.0	341.0	7730.0	6784.0	54196.0	60842.0			
fig|1254.353.peg.44	HN015_00195	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.440	HN015_02130	Phosphoglycerate kinase (EC 2.7.2.3)	pgk	53	184	215	933.0	441.0	407.0	98.0	553.0	298.0	910.0	8618.0	3488.0	1766.0	3640.0	3133.0	3488.0	76.0	1603.0	1639.0	11632.0	9772.0			
fig|1254.353.peg.441	HN015_02135	Triosephosphate isomerase (EC 5.3.1.1)		41	79	82	555.0	274.0	222.0	48.0	223.0	95.0	576.0	3363.0	1641.0	1078.0	2319.0	2123.0	1235.0	17.0	673.0	849.0	4000.0	3827.0			
fig|1254.353.peg.442	HN015_02140	Enolase (EC 4.2.1.11)	eno	70	339	342	1526.0	674.0	719.0	134.0	808.0	352.0	1551.0	14511.0	4762.0	2731.0	5940.0	5077.0	6657.0	84.0	2442.0	2670.0	17926.0	15082.0			
fig|1254.353.peg.443	HN015_02145	Protein translocase membrane subunit SecG	secG	3	5	7	51.0	19.0	12.0	2.0	14.0	6.0	55.0	239.0	90.0	56.0	151.0	113.0	136.0	5.0	49.0	74.0	192.0	390.0			
fig|1254.353.peg.444	HN015_02150	3'-to-5' exoribonuclease RNase R	rnr	0	20	10	123.0	51.0	63.0	5.0	27.0	16.0	40.0	886.0	242.0	156.0	224.0	180.0	455.0	14.0	184.0	206.0	1447.0	1188.0			
fig|1254.353.peg.445	HN015_02155	tmRNA-binding protein SmpB	smpB	0	1	3	23.0	16.0	5.0	2.0	6.0	2.0	17.0	101.0	26.0	33.0	50.0	42.0	101.0	3.0	43.0	39.0	163.0	207.0			
fig|1254.353.peg.446	HN015_02160	Acetyltransferase (GNAT family) SAS0976		0	6	3	9.0	4.0	7.0	2.0	9.0	4.0	18.0	174.0	56.0	23.0	45.0	48.0	49.0	2.0	22.0	36.0	265.0	300.0			
fig|1254.353.peg.447	HN015_02165	FIG00742364: hypothetical protein		0	0	1	4.0	0.0	3.0	0.0	7.0	6.0	5.0	122.0	31.0	9.0	16.0	9.0	38.0	1.0	8.0	17.0	115.0	162.0			
fig|1254.353.peg.448	HN015_02170	hydrolase%2C HAD superfamily%2C Cof family		6	7	5	18.0	20.0	19.0	0.0	14.0	13.0	48.0	365.0	144.0	44.0	84.0	66.0	107.0	3.0	38.0	65.0	513.0	529.0			
fig|1254.353.peg.449	HN015_02175	Uracil-DNA glycosylase%2C family 1 (EC 3.2.2.27)		2	3	4	8.0	3.0	3.0	3.0	4.0	6.0	23.0	180.0	67.0	9.0	40.0	32.0	52.0	2.0	14.0	39.0	202.0	295.0			
fig|1254.353.peg.45	HN015_00200	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.450	HN015_02180	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	tsaE	1	0	3	6.0	4.0	4.0	1.0	3.0	0.0	8.0	50.0	40.0	8.0	26.0	9.0	26.0	1.0	8.0	13.0	99.0	107.0			
fig|1254.353.peg.451	HN015_02185	Acetyltransferase TM0577		2	6	1	8.0	1.0	3.0	1.0	1.0	2.0	8.0	50.0	21.0	4.0	18.0	10.0	42.0	0.0	8.0	19.0	83.0	88.0			
fig|1254.353.peg.452	HN015_02190	Exonuclease		4	2	3	19.0	17.0	11.0	0.0	5.0	5.0	51.0	299.0	117.0	33.0	67.0	46.0	102.0	6.0	26.0	48.0	532.0	603.0			
fig|1254.353.peg.453	HN015_02195	Oxidoreductase%2C Gfo/Idh/MocA family		0	0	2	17.0	7.0	8.0	1.0	14.0	1.0	26.0	188.0	73.0	18.0	38.0	44.0	43.0	1.0	23.0	38.0	216.0	179.0			
fig|1254.353.peg.454	HN015_02200	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)	murB	1	10	4	12.0	17.0	8.0	0.0	13.0	1.0	66.0	164.0	118.0	47.0	89.0	78.0	55.0	1.0	24.0	43.0	259.0	252.0			
fig|1254.353.peg.455	HN015_02205	Diadenylate cyclase spyDAC%3B Bacterial checkpoint controller DisA with nucleotide-binding domain		0	0	8	12.0	8.0	7.0	1.0	6.0	12.0	14.0	83.0	57.0	21.0	45.0	44.0	69.0	0.0	22.0	69.0	96.0	102.0			
fig|1254.353.peg.456	HN015_02210	Uncharacterized secreted protein associated with spyDAC		1	5	3	40.0	17.0	18.0	2.0	14.0	9.0	19.0	130.0	75.0	38.0	69.0	67.0	138.0	5.0	48.0	77.0	339.0	235.0			
fig|1254.353.peg.457	HN015_02215	Phosphoglucosamine mutase (EC 5.4.2.10)		3	25	21	96.0	44.0	71.0	2.0	63.0	28.0	131.0	250.0	344.0	170.0	319.0	303.0	317.0	3.0	155.0	311.0	746.0	725.0			
fig|1254.353.peg.458	HN015_02220	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	glmS	2	4	0	167.0	28.0	28.0	2.0	7.0	6.0	137.0	274.0	258.0	307.0	900.0	605.0	437.0	0.0	185.0	14.0	55.0	6.0			
fig|1254.353.peg.459	HN015_02225	hypothetical protein		1	5	7	17.0	5.0	4.0	0.0	5.0	4.0	30.0	130.0	64.0	15.0	50.0	54.0	45.0	3.0	15.0	34.0	106.0	213.0			
fig|1254.353.peg.46	HN015_00205	Predicted cell-wall-anchored protein SasA (LPXTG motif)		2	2	0	0.0	0.0	11.0	1.0	0.0	1.0	0.0	60.0	6.0	12.0	1.0	8.0	0.0	0.0	0.0	11.0	111.0	100.0			
fig|1254.353.peg.460	HN015_02230	Oleate hydratase (EC 4.2.1.53)		9	8	13	5.0	47.0	57.0	25.0	7.0	19.0	6.0	1205.0	16.0	13.0	27.0	21.0	8.0	9.0	8.0	20.0	283.0	197.0			
fig|1254.353.peg.461	HN015_02235	FIG00906170: hypothetical protein		0	4	0	9.0	7.0	2.0	0.0	0.0	0.0	0.0	11.0	4.0	0.0	9.0	15.0	46.0	1.0	8.0	5.0	9.0	18.0			
fig|1254.353.peg.462	HN015_02240	2-haloalkanoic acid dehalogenase (EC 3.8.1.2)		1	0	1	1.0	0.0	2.0	0.0	0.0	1.0	3.0	16.0	6.0	2.0	5.0	7.0	6.0	0.0	1.0	5.0	4.0	14.0			
fig|1254.353.peg.463	HN015_02245	Transcriptional regulator%2C GntR family		0	0	0	2.0	4.0	1.0	0.0	1.0	0.0	0.0	86.0	0.0	7.0	21.0	8.0	1.0	0.0	4.0	4.0	92.0	39.0			
fig|1254.353.peg.464	HN015_02250	Transcriptional regulator%2C GntR family		2	0	0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	67.0	4.0	0.0	3.0	2.0	0.0	0.0	1.0	2.0	45.0	27.0			
fig|1254.353.peg.465	HN015_02255	PTS system%2C mannose-specific IIB component (EC 2.7.1.191)		0	2	1	0.0	0.0	2.0	0.0	0.0	0.0	0.0	29.0	0.0	6.0	2.0	1.0	2.0	0.0	0.0	0.0	29.0	8.0			
fig|1254.353.peg.466	HN015_02260	PTS system%2C mannose-specific IIC component		0	0	0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	22.0	8.0			
fig|1254.353.peg.467	HN015_02265	PTS system%2C mannose-specific IID component		0	1	0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	23.0	4.0	0.0	3.0	3.0	1.0	0.0	0.0	2.0	54.0	38.0			
fig|1254.353.peg.468	HN015_02270	putative glucosamine-fructose-6-phosphate aminotransferase		0	2	3	0.0	4.0	2.0	1.0	0.0	0.0	0.0	117.0	5.0	1.0	6.0	3.0	1.0	1.0	0.0	17.0	84.0	81.0			
fig|1254.353.peg.469	HN015_02275	Putative glucosamine-fructose-6-phosphate aminotransferase		0	0	1	0.0	1.0	5.0	0.0	0.0	0.0	0.0	45.0	0.0	4.0	4.0	1.0	5.0	1.0	0.0	12.0	84.0	47.0			
fig|1254.353.peg.47	HN015_00210	Histone acetyltransferase HPA2 and related acetyltransferases		0	0	3	3.0	0.0	3.0	1.0	4.0	1.0	18.0	35.0	18.0	4.0	36.0	13.0	29.0	1.0	9.0	6.0	34.0	55.0			
fig|1254.353.peg.470	HN015_02280	PTS system%2C mannose-specific IIA component (EC 2.7.1.191)		0	0	0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	30.0	3.0	0.0	0.0	8.0	1.0	0.0	1.0	5.0	19.0	28.0			
fig|1254.353.peg.471	HN015_02285	Phenolic acid decarboxylase (EC 4.1.1.-)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.472	HN015_02290	Negative regulator of phenolic acid metabolism PadR		0	0	0	2.0	1.0	0.0	1.0	3.0	0.0	0.0	64.0	3.0	10.0	11.0	4.0	22.0	1.0	4.0	4.0	28.0	28.0			
fig|1254.353.peg.473	HN015_02295	Glucose 1-dehydrogenase (EC 1.1.1.47)		0	1	0	5.0	0.0	1.0	0.0	0.0	2.0	10.0	389.0	9.0	9.0	9.0	8.0	10.0	0.0	6.0	3.0	58.0	83.0			
fig|1254.353.peg.474	HN015_02300	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	3.0	1.0	8.0			
fig|1254.353.peg.475	HN015_02305	Asparaginyl-tRNA synthetase (EC 6.1.1.22)	asnS	1	6	11	38.0	62.0	31.0	1.0	34.0	18.0	60.0	330.0	132.0	62.0	139.0	89.0	148.0	8.0	74.0	86.0	462.0	458.0			
fig|1254.353.peg.476	HN015_02310	Dipeptidase (EC 3.4.-.-)		0	2	4	4.0	1.0	3.0	1.0	0.0	3.0	16.0	115.0	34.0	9.0	28.0	19.0	10.0	2.0	5.0	19.0	100.0	169.0			
fig|1254.353.peg.477	HN015_02315	Rhodanese domain protein		2	1	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0			
fig|1254.353.peg.478	HN015_02320	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine		0	0	1	3.0	2.0	3.0	0.0	5.0	0.0	5.0	37.0	18.0	7.0	18.0	9.0	48.0	3.0	12.0	26.0	68.0	132.0			
fig|1254.353.peg.479	HN015_02325	Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine		0	1	1	8.0	4.0	8.0	1.0	0.0	1.0	4.0	148.0	26.0	3.0	12.0	14.0	48.0	2.0	28.0	33.0	155.0	122.0			
fig|1254.353.peg.48	HN015_00215	Proton/glutamate symporter @ Sodium/glutamate symporter		0	0	2	20.0	3.0	8.0	1.0	23.0	7.0	18.0	105.0	124.0	51.0	47.0	91.0	117.0	3.0	31.0	43.0	138.0	227.0			
fig|1254.353.peg.480	HN015_02330	Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine		0	3	6	6.0	1.0	3.0	1.0	1.0	0.0	2.0	34.0	13.0	5.0	17.0	16.0	31.0	1.0	14.0	14.0	60.0	107.0			
fig|1254.353.peg.481	HN015_02335	Glucose 1-dehydrogenase (EC 1.1.1.47)		5	0	1	6.0	4.0	4.0	3.0	4.0	0.0	24.0	133.0	38.0	13.0	33.0	38.0	32.0	0.0	4.0	19.0	60.0	130.0			
fig|1254.353.peg.482	HN015_02340	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	4.0	7.0	4.0	5.0	3.0	2.0	0.0	11.0	33.0			
fig|1254.353.peg.483	HN015_02345	Response regulator of the LytR/AlgR family		0	0	0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	16.0	8.0	0.0	10.0	1.0	1.0	1.0	0.0	2.0	23.0	18.0			
fig|1254.353.peg.484	HN015_02350	hypothetical protein		0	0	0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0			
fig|1254.353.peg.485	HN015_02355	Efflux ABC transporter%2C ATP-binding protein		0	0	0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	9.0			
fig|1254.353.peg.486	HN015_02360	Ribonucleotide reductase of class III (anaerobic)%2C large subunit (EC 1.17.4.2)	nrdD	3	0	6	57.0	4.0	21.0	3.0	5.0	4.0	8.0	104.0	27.0	8.0	28.0	26.0	328.0	7.0	143.0	16.0	53.0	71.0			
fig|1254.353.peg.487	HN015_02365	Ribonucleotide reductase of class III (anaerobic)%2C activating protein (EC 1.97.1.4)	nrdG	0	2	0	11.0	3.0	3.0	0.0	3.0	3.0	0.0	12.0	2.0	2.0	6.0	9.0	24.0	0.0	34.0	10.0	15.0	12.0			
fig|1254.353.peg.488	HN015_02370	Iron-sulfur cluster assembly ATPase protein SufC	sufC	3	1	1	27.0	5.0	5.0	0.0	7.0	2.0	2.0	22.0	6.0	12.0	13.0	7.0	121.0	2.0	56.0	10.0	22.0	17.0			
fig|1254.353.peg.489	HN015_02375	Iron-sulfur cluster assembly protein SufD		1	2	0	8.0	3.0	13.0	1.0	10.0	6.0	4.0	21.0	8.0	3.0	11.0	9.0	80.0	3.0	40.0	12.0	36.0	32.0			
fig|1254.353.peg.49		hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.490	HN015_02380	Cysteine desulfurase (EC 2.8.1.7) %3D> SufS		1	0	0	37.0	10.0	10.0	5.0	6.0	5.0	3.0	27.0	17.0	17.0	12.0	15.0	286.0	6.0	118.0	18.0	38.0	35.0			
fig|1254.353.peg.491	HN015_02385	Putative iron-sulfur cluster assembly scaffold protein for SUF system%2C SufE2		0	0	0	9.0	3.0	0.0	0.0	1.0	2.0	3.0	17.0	6.0	0.0	0.0	7.0	29.0	0.0	21.0	4.0	7.0	0.0			
fig|1254.353.peg.492	HN015_02390	Iron-sulfur cluster assembly protein SufB	sufB	0	1	4	59.0	3.0	17.0	1.0	18.0	11.0	11.0	73.0	19.0	11.0	18.0	19.0	561.0	6.0	209.0	13.0	75.0	54.0			
fig|1254.353.peg.493	HN015_02395	MarC family integral membrane protein		0	0	0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	18.0	2.0	3.0	2.0	0.0	2.0	0.0	1.0	4.0	16.0	44.0			
fig|1254.353.peg.494		hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.495	HN015_02400	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.496	HN015_02405	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.497	HN015_02410	Predicted pyrophosphatase		0	0	2	0.0	2.0	1.0	0.0	0.0	0.0	1.0	12.0	6.0	0.0	4.0	8.0	1.0	0.0	1.0	13.0	5.0	9.0			
fig|1254.353.peg.498	HN015_02415	Uncharacterized deacetylase		0	1	1	9.0	2.0	2.0	0.0	0.0	0.0	6.0	103.0	19.0	11.0	15.0	9.0	8.0	0.0	4.0	4.0	45.0	40.0			
fig|1254.353.peg.499	HN015_02420	Zinc-type alcohol dehydrogenase-like protein		0	1	0	3.0	0.0	3.0	0.0	0.0	0.0	4.0	13.0	2.0	7.0	4.0	7.0	5.0	0.0	1.0	2.0	6.0	18.0			
fig|1254.353.peg.5	HN015_00015	Uncharacterized S4 RNA-binding-domain protein YbcJ	yaaA	4	12	14	24.0	6.0	7.0	0.0	6.0	4.0	55.0	113.0	67.0	41.0	101.0	46.0	59.0	2.0	14.0	33.0	193.0	224.0			
fig|1254.353.peg.50	HN015_00220	Uncharacterized ATPase%2C AAA superfamily		1	2	0	4.0	5.0	2.0	0.0	1.0	0.0	4.0	59.0	27.0	5.0	12.0	9.0	16.0	0.0	8.0	6.0	69.0	52.0			
fig|1254.353.peg.500	HN015_02425	Alcohol dehydrogenase (EC 1.1.1.1)		0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	3.0	1.0	6.0	5.0	4.0	0.0	2.0	3.0	27.0	15.0			
fig|1254.353.peg.501	HN015_02430	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.502		hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
